"","p","P","q","Q","aic"
"1",0,0,0,0,2234.20190567341
"2",1,0,0,0,2027.94874340168
"3",2,0,0,0,1982.04014042243
"4",3,0,0,0,1957.47844789541
"5",0,1,0,0,2144.8476138066
"6",1,1,0,0,1948.63816041266
"7",2,1,0,0,1908.23936950527
"8",3,1,0,0,1881.86406160889
"9",0,2,0,0,2104.57467469981
"10",1,2,0,0,1913.41920585308
"11",2,2,0,0,1867.5976266255
"12",3,2,0,0,1841.03216472381
"13",0,3,0,0,2057.22614630078
"14",1,3,0,0,1855.39053560361
"15",2,3,0,0,1810.94842834576
"16",3,3,0,0,1786.41696650009
"17",0,0,1,0,1947.07731432042
"18",1,0,1,0,1945.13288116712
"19",2,0,1,0,1932.7203713256
"20",3,0,1,0,1925.55688157785
"21",0,1,1,0,1862.37599704967
"22",1,1,1,0,1862.95072451601
"23",2,1,1,0,1859.32438811678
"24",3,1,1,0,1857.06906476118
"25",0,2,1,0,1823.52364891442
"26",1,2,1,0,1824.07500828921
"27",2,2,1,0,1822.31885356477
"28",3,2,1,0,1819.98439519913
"29",0,3,1,0,1772.44421126279
"31",2,3,1,0,1768.24924803337
"32",3,3,1,0,1765.73360637576
"33",0,0,2,0,1945.97783546914
"34",1,0,2,0,1944.96784403363
"35",2,0,2,0,1927.22764861034
"36",3,0,2,0,1923.75293386546
"37",0,1,2,0,1863.28423102148
"38",1,1,2,0,1861.52576253567
"39",2,1,2,0,1851.16646526292
"40",3,1,2,0,1863.19536939689
"41",0,2,2,0,1824.36410503879
"42",1,2,2,0,1823.41036484353
"43",2,2,2,0,1814.29993864314
"44",3,2,2,0,1826.1153530408
"45",0,3,2,0,1772.72607724206
"46",1,3,2,0,1770.29566927114
"47",2,3,2,0,1762.5363208114
"48",3,3,2,0,1771.94977677581
"49",0,0,3,0,1943.67775684297
"50",1,0,3,0,1921.35556781848
"51",2,0,3,0,1907.76114229664
"52",3,0,3,0,1916.51185762875
"53",0,1,3,0,1860.80258142537
"54",1,1,3,0,1863.33823972174
"55",2,1,3,0,1852.27563087362
"56",3,1,3,0,1852.35844541536
"57",0,2,3,0,1823.33104502366
"58",1,2,3,0,1825.18350344895
"59",2,2,3,0,1816.30897354673
"60",3,2,3,0,1818.10012611396
"61",0,3,3,0,1770.04298555444
"62",1,3,3,0,1762.21275434993
"63",2,3,3,0,1764.50705609901
"64",3,3,3,0,1768.20675556453
