"V1","V2","V3","V4","V5"
"result",0,0,0,0,2449.85276113797
"result",0,0,0,1,2099.69768575949
"result",0,0,0,2,2094.67260693251
"result",0,0,0,3,2077.13471294611
"result",0,0,1,0,2153.6456603278
"result",0,0,1,1,2090.85925386332
"result",0,0,1,2,2045.61351605928
"result",0,0,1,3,2047.44341615986
"result",0,0,2,0,2138.0752676754
"result",0,0,2,1,2072.95475481149
"result",0,0,2,2,2047.40687540968
"result",0,0,2,3,2048.68513898845
"result",0,0,3,0,2108.50288610857
"result",0,0,3,1,2069.98401215079
"result",0,0,3,2,2046.4572423605
"result",0,0,3,3,2048.45643681347
"result",0,1,0,0,2328.3731892016
"result",0,1,0,1,1904.58010937214
"result",0,1,0,2,1875.95383925094
"result",0,1,0,3,1840.64531857541
"result",0,1,1,0,1906.62986381818
"result",0,1,1,1,1854.26589826729
"result",0,1,1,2,1772.68462456166
"result",0,1,1,3,1774.4964755878
"result",0,1,2,0,1895.89824919026
"result",0,1,2,1,1817.04267435565
"result",0,1,3,0,1855.48533597175
"result",0,1,3,1,1808.51190482937
"result",0,2,0,0,2324.82597836058
"result",0,2,0,1,1899.38314071581
"result",0,2,0,2,1877.07668155914
"result",0,2,0,3,1842.58676914111
"result",0,2,1,0,1908.61249433324
"result",0,2,1,1,1856.16253816327
"result",0,2,1,2,1774.38851568407
"result",0,2,1,3,1776.05629818714
"result",0,2,2,0,1897.69673707318
"result",0,2,2,1,1818.44002368999
"result",0,2,3,0,1857.39935167479
"result",0,2,3,1,1810.15753579703
"result",0,3,0,0,2219.33856602995
"result",0,3,0,1,1867.72882866075
"result",0,3,0,2,1854.10558564296
"result",0,3,0,3,1824.42009763636
"result",0,3,1,0,1886.01581717635
"result",0,3,1,1,1841.42019843978
"result",0,3,1,2,1768.69323296801
"result",0,3,1,3,1770.60305393213
"result",0,3,2,0,1881.78591801635
"result",0,3,2,1,1808.57721570675
"result",0,3,3,0,1849.36129421998
"result",0,3,3,1,1801.10483670517
"result",0,4,0,0,2163.56336685573
"result",0,4,0,1,1856.2351472402
"result",0,4,0,2,1845.04694112232
"result",0,4,0,3,1812.84001900288
"result",0,4,1,0,1874.24363234513
"result",0,4,1,1,1835.35303577484
"result",0,4,1,2,1766.77587125586
"result",0,4,1,3,1768.7730139044
"result",0,4,2,0,1868.05902463628
"result",0,4,2,1,1801.96574452738
"result",0,4,3,0,1846.11630178694
"result",0,4,3,1,1795.97385749976
"result",0,4,3,2,1764.49487509628
"result",1,0,0,0,2325.80086705494
"result",1,0,0,1,1929.2877835287
"result",1,0,0,2,1914.50576877684
"result",1,0,0,3,1890.11343586879
"result",1,0,1,0,1968.26138158077
"result",1,0,1,1,1904.67964661055
"result",1,0,1,2,1853.18261434917
"result",1,0,1,3,1854.69893713526
"result",1,0,2,0,1951.95517743596
"result",1,0,2,1,1880.36900570324
"result",1,0,2,2,1854.56957388748
"result",1,0,2,3,1855.40206067971
"result",1,0,3,0,1923.80122721921
"result",1,0,3,1,1877.33734169512
"result",1,0,3,2,1851.40298255627
"result",1,0,3,3,1853.40261923242
"result",1,1,0,0,2323.98926395803
"result",1,1,0,1,1890.03052101791
"result",1,1,0,2,1875.63511630315
"result",1,1,0,3,1842.44955283394
"result",1,1,1,0,1908.57967643757
"result",1,1,1,1,1856.06543449371
"result",1,1,2,0,1897.48381561344
"result",1,1,2,1,1818.00551305962
"result",1,1,3,0,1857.33789478037
"result",1,1,3,1,1809.89781559318
"result",1,2,0,0,2325.94481389966
"result",1,2,0,1,1906.465047361
"result",1,2,0,2,1872.34851054465
"result",1,2,0,3,1839.54844771474
"result",1,2,1,0,1907.64690603104
"result",1,2,1,1,1847.79194992852
"result",1,2,2,0,1895.42434926351
"result",1,2,2,1,1814.02747069265
"result",1,2,3,0,1855.23645804238
"result",1,2,3,1,1806.30043318509
"result",1,3,0,0,2212.45934865761
"result",1,3,0,1,1850.30681749356
"result",1,3,0,2,1839.95614762646
"result",1,3,0,3,1807.48767611153
"result",1,3,1,0,1862.7677254778
"result",1,3,1,1,1831.17710486313
"result",1,3,2,0,1855.87660318146
"result",1,3,2,1,1796.12385681006
"result",1,3,3,0,1830.39682757588
"result",1,3,3,1,1807.18232939645
"result",1,4,0,0,2179.61546945848
"result",1,4,0,1,1847.81644316894
"result",1,4,0,2,1840.36971905377
"result",1,4,0,3,1806.96983990855
"result",1,4,1,0,1862.53848730347
"result",1,4,1,1,1832.88476390297
"result",1,4,2,0,1856.82213924788
"result",1,4,2,1,1797.47996210472
"result",1,4,2,2,1764.06435257738
"result",1,4,2,3,1764.48996056962
"result",1,4,3,0,1832.38454550346
"result",1,4,3,1,1798.88165832349
"result",2,0,0,0,2324.07874820317
"result",2,0,0,1,1914.65851136779
"result",2,0,0,2,1895.86950232262
"result",2,0,0,3,1862.43729567393
"result",2,0,1,0,1935.92572673932
"result",2,0,1,1,1881.40286054062
"result",2,0,2,0,1923.14475886668
"result",2,0,2,1,1846.79135699821
"result",2,0,3,0,1893.09658997936
"result",2,0,3,1,1842.03201965
"result",2,0,3,2,1809.89567926994
"result",2,0,3,3,1811.89138109105
"result",2,1,0,0,2223.08444290752
"result",2,1,0,1,1854.71275461995
"result",2,1,0,2,1842.69405513399
"result",2,1,0,3,1811.63815970049
"result",2,1,1,0,1866.25597187298
"result",2,1,1,1,1832.80426826514
"result",2,1,2,0,1858.99876386278
"result",2,1,2,1,1800.00112938938
"result",2,1,3,0,1834.14876237175
"result",2,1,3,1,1793.83508271714
"result",2,1,3,2,1762.82469058953
"result",2,2,0,0,2222.62360481332
"result",2,2,0,1,1856.69535975156
"result",2,2,0,2,1844.22540027085
"result",2,2,0,3,1811.79077680517
"result",2,2,1,0,1864.99658315802
"result",2,2,1,1,1832.93263816077
"result",2,2,2,0,1857.77439199503
"result",2,2,2,1,1797.82620135705
"result",2,2,3,0,1830.51243739071
"result",2,2,3,1,1791.45797064836
"result",2,3,0,0,2165.62782251073
"result",2,3,0,1,1783.99025649118
"result",2,3,0,2,1784.15166111152
"result",2,3,0,3,1773.42023207338
"result",2,3,1,0,1858.12242079031
"result",2,3,1,1,1834.83477778841
"result",2,3,1,2,1762.83396450137
"result",2,3,2,0,1854.92821836557
"result",2,3,2,1,1809.12344128573
"result",2,3,3,0,1832.40727150875
"result",2,3,3,1,1789.15556975389
"result",2,4,0,0,2069.24440427083
"result",2,4,0,1,1782.33528585677
"result",2,4,0,2,1782.11680021152
"result",2,4,0,3,1772.72012485031
"result",2,4,1,0,1855.79709272686
"result",2,4,1,1,1833.60345576999
"result",2,4,1,3,1764.9481544711
"result",2,4,2,0,1851.59447714714
"result",2,4,2,1,1809.67552824921
"result",2,4,3,0,1833.64881136671
"result",2,4,3,1,1793.47217615404
"result",2,4,3,2,1760.59230865037
"result",3,0,0,0,2326.0783024108
"result",3,0,0,1,1914.41916901417
"result",3,0,0,2,1892.27080804443
"result",3,0,0,3,1856.49722928899
"result",3,0,1,0,1921.1525412985
"result",3,0,1,1,1873.31884058866
"result",3,0,2,0,1911.03380369441
"result",3,0,2,1,1834.20771445989
"result",3,0,3,0,1875.56761714456
"result",3,0,3,1,1826.84042625714
"result",3,1,0,0,2217.07376030806
"result",3,1,0,1,1856.68327659729
"result",3,1,0,2,1844.04684259697
"result",3,1,0,3,1811.14634517078
"result",3,1,1,0,1864.89693738328
"result",3,1,1,1,1832.73534712138
"result",3,1,2,0,1857.63460762332
"result",3,1,2,1,1797.63543065327
"result",3,1,3,0,1831.6884930654
"result",3,1,3,1,1791.53045161931
"result",3,2,0,0,2182.10250085199
"result",3,2,0,1,1858.34214818624
"result",3,2,0,2,1846.48553846601
"result",3,2,0,3,1813.11823230337
"result",3,2,1,0,1856.3305031085
"result",3,2,1,1,1836.52397413208
"result",3,2,2,0,1859.49918071891
"result",3,2,2,1,1799.42219359232
"result",3,2,3,0,1837.65969167426
"result",3,3,0,0,2142.40199279415
"result",3,3,0,1,1860.54354722783
"result",3,3,0,2,1781.17178200414
"result",3,3,0,3,1772.1420713947
"result",3,3,1,0,1857.11508871624
"result",3,3,1,1,1835.22219412422
"result",3,3,2,0,1841.02316040169
"result",3,3,2,1,1772.17028616674
"result",3,3,3,0,1830.08306449441
"result",3,4,0,0,2034.72573889163
"result",3,4,1,0,1856.08955984542
"result",3,4,1,1,1802.42678875271
"result",3,4,2,0,1834.05378385734
"result",3,4,2,1,1772.62828945772
"result",3,4,3,0,1835.8892194264
"result",3,4,3,1,1796.88748859597
"result",4,0,0,0,2324.19441465645
"result",4,0,0,1,1916.24303081736
"result",4,0,0,2,1894.14896539649
"result",4,0,0,3,1858.49619120697
"result",4,0,1,0,1922.62635801036
"result",4,0,1,1,1875.12724854494
"result",4,0,2,0,1912.69585563229
"result",4,0,2,1,1836.09119815417
"result",4,0,3,0,1876.184885771
"result",4,0,3,1,1828.54577537067
"result",4,1,0,0,2188.9471862743
"result",4,1,0,1,1854.41358276204
"result",4,1,0,2,1845.11460117202
"result",4,1,0,3,1813.00701070579
"result",4,1,1,0,1866.11560172344
"result",4,1,1,1,1834.71138902368
"result",4,1,1,2,1760.78629053447
"result",4,1,2,0,1859.14575308108
"result",4,1,2,1,1798.93805207048
