"V1","V2"
"1",1955,571
"2",1955,642
"3",1955,655
"4",1955,781
"5",1955,490
"6",1955,705
"7",1955,574
"8",1955,692
"9",1955,646
"10",1955,644
"11",1955,536
"12",1955,681
"13",1956,745
"14",1956,623
"15",1956,548
"16",1956,671
"17",1956,503
"18",1956,724
"19",1956,511
"20",1956,707
"21",1956,624
"22",1956,762
"23",1956,485
"24",1956,694
"25",1957,724
"26",1957,656
"27",1957,632
"28",1957,668
"29",1957,510
"30",1957,722
"31",1957,561
"32",1957,646
"33",1957,589
"34",1957,676
"35",1957,490
"36",1957,686
"37",1958,501
"38",1958,641
"39",1958,532
"40",1958,636
"41",1958,485
"42",1958,724
"43",1958,615
"44",1958,651
"45",1958,632
"46",1958,688
"47",1958,504
"48",1958,711
"49",1959,586
"50",1959,747
"51",1959,622
"52",1959,670
"53",1959,460
"54",1959,776
"55",1959,644
"56",1959,670
"57",1959,547
"58",1959,656
"59",1959,500
"60",1959,740
"61",1960,603
"62",1960,682
"63",1960,636
"64",1960,709
"65",1960,471
"66",1960,703
"67",1960,609
"68",1960,641
"69",1960,718
"70",1960,769
"71",1960,491
"72",1960,682
"73",1961,826
"74",1961,832
"75",1961,707
"76",1961,840
"77",1961,513
"78",1961,839
"79",1961,643
"80",1961,710
"81",1961,697
"82",1961,716
"83",1961,475
"84",1961,731
"85",1962,745
"86",1962,829
"87",1962,711
"88",1962,874
"89",1962,639
"90",1962,822
"91",1962,781
"92",1962,867
"93",1962,776
"94",1962,897
"95",1962,641
"96",1962,880
"97",1963,1230
"98",1963,1442
"99",1963,1305
"100",1963,1253
"101",1963,905
"102",1963,1200
"103",1963,977
"104",1963,952
"105",1963,907
"106",1963,894
"107",1963,726
"108",1963,941
"109",1964,1193
"110",1964,1262
"111",1964,1254
"112",1964,1334
"113",1964,960
"114",1964,1534
"115",1964,1202
"116",1964,1361
"117",1964,1358
"118",1964,1496
"119",1964,1025
"120",1964,1528
"121",1965,1091
"122",1965,1258
"123",1965,1329
"124",1965,1282
"125",1965,974
"126",1965,1320
"127",1965,1035
"128",1965,1294
"129",1965,1158
"130",1965,1276
"131",1965,934
"132",1965,1495
"133",1966,1044
"134",1966,1212
"135",1966,1243
"136",1966,1411
"137",1966,961
"138",1966,1233
"139",1966,1095
"140",1966,1167
"141",1966,1071
"142",1966,1189
"143",1966,889
"144",1966,1388
"145",1967,1301
"146",1967,1479
"147",1967,1317
"148",1967,1389
"149",1967,1049
"150",1967,1373
"151",1967,1176
"152",1967,1325
"153",1967,1231
"154",1967,1347
"155",1967,1062
"156",1967,1350
"157",1968,1399
"158",1968,1457
"159",1968,1429
"160",1968,1406
"161",1968,1149
"162",1968,1451
"163",1968,1299
"164",1968,1431
"165",1968,1414
"166",1968,1511
"167",1968,1059
"168",1968,1602
"169",1969,1389
"170",1969,1437
"171",1969,1406
"172",1969,1530
"173",1969,1147
"174",1969,1557
"175",1969,1299
"176",1969,1433
"177",1969,1385
"178",1969,1501
"179",1969,1252
"180",1969,1478
"181",1970,1206
"182",1970,1480
"183",1970,1381
"184",1970,1419
"185",1970,1154
"186",1970,1523
"187",1970,1351
"188",1970,1468
"189",1970,1479
"190",1970,1578
"191",1970,1287
"192",1970,1622
"193",1971,1562
"194",1971,1708
"195",1971,1627
"196",1971,1636
"197",1971,1307
"198",1971,1544
"199",1971,1486
"200",1971,1732
"201",1971,1490
"202",1971,1571
"203",1971,1156
"204",1971,1504
"205",1972,1418
"206",1972,1493
"207",1972,1542
"208",1972,1583
"209",1972,1227
"210",1972,1537
"211",1972,1415
"212",1972,1518
"213",1972,1763
"214",1972,1643
"215",1972,1363
"216",1972,1728
"217",1973,1637
"218",1973,1639
"219",1973,1534
"220",1973,1733
"221",1973,1337
"222",1973,1653
"223",1973,1540
"224",1973,1775
"225",1973,1460
"226",1973,1932
"227",1973,1351
"228",1973,1664
"229",1974,1508
"230",1974,1748
"231",1974,1849
"232",1974,1702
"233",1974,1489
"234",1974,1768
"235",1974,1568
"236",1974,1771
"237",1974,1578
"238",1974,1907
"239",1974,1375
"240",1974,1730
"241",1975,1577
"242",1975,1859
"243",1975,1817
"244",1975,1874
"245",1975,1505
