"","year","month","count"
"1",1964,1,1193
"2",1964,2,1262
"3",1964,3,1254
"4",1964,4,1334
"5",1964,5,960
"6",1964,6,1534
"7",1964,7,1202
"8",1964,8,1361
"9",1964,9,1358
"10",1964,10,1496
"11",1964,11,1025
"12",1964,12,1528
"13",1965,1,1091
"14",1965,2,1258
"15",1965,3,1329
"16",1965,4,1282
"17",1965,5,974
"18",1965,6,1320
"19",1965,7,1035
"20",1965,8,1294
"21",1965,9,1158
"22",1965,10,1276
"23",1965,11,934
"24",1965,12,1495
"25",1966,1,1044
"26",1966,2,1212
"27",1966,3,1243
"28",1966,4,1411
"29",1966,5,961
"30",1966,6,1233
"31",1966,7,1095
"32",1966,8,1167
"33",1966,9,1071
"34",1966,10,1189
"35",1966,11,889
"36",1966,12,1388
"37",1967,1,1301
"38",1967,2,1479
"39",1967,3,1317
"40",1967,4,1389
"41",1967,5,1049
"42",1967,6,1373
"43",1967,7,1176
"44",1967,8,1325
"45",1967,9,1231
"46",1967,10,1347
"47",1967,11,1062
"48",1967,12,1350
"49",1968,1,1399
"50",1968,2,1457
"51",1968,3,1429
"52",1968,4,1406
"53",1968,5,1149
"54",1968,6,1451
"55",1968,7,1299
"56",1968,8,1431
"57",1968,9,1414
"58",1968,10,1511
"59",1968,11,1059
"60",1968,12,1602
"61",1969,1,1389
"62",1969,2,1437
"63",1969,3,1406
"64",1969,4,1530
"65",1969,5,1147
"66",1969,6,1557
"67",1969,7,1299
"68",1969,8,1433
"69",1969,9,1385
"70",1969,10,1501
"71",1969,11,1252
"72",1969,12,1478
"73",1970,1,1206
"74",1970,2,1480
"75",1970,3,1381
"76",1970,4,1419
"77",1970,5,1154
"78",1970,6,1523
"79",1970,7,1351
"80",1970,8,1468
"81",1970,9,1479
"82",1970,10,1578
"83",1970,11,1287
"84",1970,12,1622
"85",1971,1,1562
"86",1971,2,1708
"87",1971,3,1627
"88",1971,4,1636
"89",1971,5,1307
"90",1971,6,1544
"91",1971,7,1486
"92",1971,8,1732
"93",1971,9,1490
"94",1971,10,1571
"95",1971,11,1156
"96",1971,12,1504
"97",1972,1,1418
"98",1972,2,1493
"99",1972,3,1542
"100",1972,4,1583
"101",1972,5,1227
"102",1972,6,1537
"103",1972,7,1415
"104",1972,8,1518
"105",1972,9,1763
"106",1972,10,1643
"107",1972,11,1363
"108",1972,12,1728
"109",1973,1,1637
"110",1973,2,1639
"111",1973,3,1534
"112",1973,4,1733
"113",1973,5,1337
"114",1973,6,1653
"115",1973,7,1540
"116",1973,8,1775
"117",1973,9,1460
"118",1973,10,1932
"119",1973,11,1351
"120",1973,12,1664
"121",1974,1,1508
"122",1974,2,1748
"123",1974,3,1849
"124",1974,4,1702
"125",1974,5,1489
"126",1974,6,1768
"127",1974,7,1568
"128",1974,8,1771
"129",1974,9,1578
"130",1974,10,1907
"131",1974,11,1375
"132",1974,12,1730
"133",1975,1,1577
"134",1975,2,1859
"135",1975,3,1817
"136",1975,4,1874
"137",1975,5,1505
"138",1975,6,1730
"139",1975,7,1682
"140",1975,8,1725
"141",1975,9,1559
"142",1975,10,2037
"143",1975,11,1441
"144",1975,12,1944
"145",1976,1,1687
"146",1976,2,1774
"147",1976,3,1769
"148",1976,4,1992
"149",1976,5,1419
"150",1976,6,2021
"151",1976,7,1588
"152",1976,8,1765
"153",1976,9,1736
"154",1976,10,1799
"155",1976,11,1541
"156",1976,12,1893
"157",1977,1,1817
"158",1977,2,1980
"159",1977,3,1916
"160",1977,4,2042
"161",1977,5,1573
"162",1977,6,2195
"163",1977,7,1826
"164",1977,8,1974
"165",1977,9,1944
"166",1977,10,2158
"167",1977,11,1568
"168",1977,12,1888
"169",1978,1,2031
"170",1978,2,2148
"171",1978,3,2012
"172",1978,4,2172
"173",1978,5,1783
"174",1978,6,2050
"175",1978,7,1932
"176",1978,8,2097
"177",1978,9,1925
"178",1978,10,2065
"179",1978,11,1618
"180",1978,12,2087
"181",1979,1,1954
"182",1979,2,2094
"183",1979,3,2245
"184",1979,4,2253
"185",1979,5,1913
"186",1979,6,2214
"187",1979,7,2238
"188",1979,8,2116
"189",1979,9,2065
"190",1979,10,2230
"191",1979,11,1899
"192",1979,12,2185
"193",1980,1,2032
"194",1980,2,2118
"195",1980,3,2178
"196",1980,4,2221
"197",1980,5,1895
"198",1980,6,2169
"199",1980,7,2032
"200",1980,8,2088
"201",1980,9,2151
"202",1980,10,2269
